Force Y (Lift),Force X (Drag),Time (s),AoA (deg),Moment (N-m)
-1.04E-02,8.41E-02,0,0,-1.92E-04
-5.63E+00,2.09E-01,3.13E-04,-1.95E+00,-2.19E-01
-4.65E+00,1.95E-01,6.25E-04,-3.83E+00,-1.20E-01
-6.55E+00,3.46E-01,9.38E-04,-5.56E+00,-1.83E-01
-7.45E+00,4.29E-01,1.25E-03,-7.07E+00,-1.97E-01
-8.10E+00,4.83E-01,1.56E-03,-8.32E+00,-2.03E-01
-8.45E+00,5.02E-01,1.88E-03,-9.24E+00,-2.02E-01
-8.49E+00,4.79E-01,2.19E-03,-9.81E+00,-1.93E-01
-8.21E+00,4.21E-01,2.50E-03,-1.00E+01,-1.76E-01
-7.64E+00,3.36E-01,2.81E-03,-9.81E+00,-1.53E-01
-6.79E+00,2.39E-01,3.13E-03,-9.24E+00,-1.25E-01
-5.70E+00,1.45E-01,3.44E-03,-8.32E+00,-9.27E-02
-4.42E+00,6.83E-02,3.75E-03,-7.07E+00,-5.88E-02
-2.99E+00,2.02E-02,4.06E-03,-5.56E+00,-2.38E-02
-1.45E+00,6.27E-03,4.38E-03,-3.83E+00,1.17E-02
1.54E-01,2.89E-02,4.69E-03,-1.95E+00,4.73E-02
1.78E+00,8.54E-02,5.00E-03,0.00E+00,8.28E-02
3.35E+00,1.67E-01,5.31E-03,1.95E+00,1.17E-01
4.81E+00,2.65E-01,5.63E-03,3.83E+00,1.47E-01
6.07E+00,3.63E-01,5.94E-03,5.56E+00,1.71E-01
7.10E+00,4.46E-01,6.25E-03,7.07E+00,1.88E-01
7.83E+00,4.99E-01,6.56E-03,8.32E+00,1.96E-01
8.24E+00,5.15E-01,6.88E-03,9.24E+00,1.97E-01
8.32E+00,4.90E-01,7.19E-03,9.81E+00,1.88E-01
8.08E+00,4.30E-01,7.50E-03,1.00E+01,1.73E-01
7.53E+00,3.44E-01,7.81E-03,9.81E+00,1.50E-01
6.70E+00,2.46E-01,8.13E-03,9.24E+00,1.23E-01
5.63E+00,1.50E-01,8.44E-03,8.32E+00,9.11E-02
4.36E+00,7.16E-02,8.75E-03,7.07E+00,5.75E-02
2.94E+00,2.23E-02,9.06E-03,5.56E+00,2.29E-02
1.42E+00,7.73E-03,9.38E-03,3.83E+00,-1.20E-02
-1.73E-01,2.95E-02,9.69E-03,1.95E+00,-4.72E-02
-1.78E+00,1.92E-01,1.00E-02,0.00E+00,-8.21E-02